Title,Developer(s),Publisher(s),Release date
Double-S.T.E.A.L. - The Second Clash,Bunkasha Publishing,Microsoft Game Studios,Unreleased
Dr. Muto,Midway Games,Midway Games,"02003-03-21 March 21, 2003"
Dr. Seuss' The Cat in the Hat,Magenta Software,Vivendi Universal Games,"02004-03-19 March 19, 2004"
Dragon Ball Z: Sagas,Avalanche Software,Atari,Unreleased
Dragon's Lair 3D: Return to the Lair,Dragonstone Software,Ubisoft,"02004-03-05 March 05, 2004"
Drake of the 99 Dragons,Idol FX,Majesco Entertainment,Unreleased
Dreamfall: The Longest Journey,Funcom,Aspyr Media,"02006-08-11 August 11, 2006"
Drihoo (JP),Highwaystar,Highwaystar,Unreleased
DRIV3R,Reflections Interactive,Atari,"02004-06-22 June 22, 2004"
Driver: Parallel Lines,Reflections Interactive,Atari,"02006-03-17 March 17, 2006"
Template:Sort,Ratbag,Ubisoft,"02004-10-15 October 15, 2004"
Dungeons & Dragons: Heroes,Atari Hunt Valley,Atari,"02003-10-31 October 31, 2003"
Dynasty Warriors 3,Omega Force,Koei,"02002-06-12 June 12, 2002"
Dynasty Warriors 4,Omega Force,Koei,"02003-11-14 November 14, 2003"
Dynasty Warriors 5,Omega Force,Koei,"02005-09-23 September 23, 2005"
"Ed, Edd n Eddy: The Mis-Edventures",Artificial Mind and Movement,Midway Games,Unreleased
Egg Mania: Eggstreme Madness,HotGen,Kemco,"02002-10-25 October 25, 2002"
Template:Sort,Bethesda Softworks,Bethesda Softworks,"02002-11-22 November 22, 2002"
Enclave,Starbreeze,Conspiracy Entertainment,"02002-07-19 July 19, 2002"
England International Football,Codemasters,Codemasters,"02004-04-30 April 30, 2004"
Enter the Matrix,Shiny Entertainment,Infogrames,"02003-05-15 May 15, 2003"
Eragon,Stormfront Studios,Vivendi Games,"02006-11-24 November 24, 2006"
ESPN College Hoops,Kush Games,Sega,Unreleased
ESPN College Hoops 2K5,Visual Concepts,Sega,Unreleased
ESPN International Winter Sports 2002 International Winter Sports (PAL),Konami,Konami,"02002-04-12 April 12, 2002"
ESPN Major League Baseball,Blue Shift,Sega,Unreleased
ESPN MLS ExtraTime 2002,Konami,Konami,Unreleased
ESPN NBA 2K5,Visual Concepts,Sega,"02005-01-28 January 28, 2005"
ESPN NBA 2Night 2002,Konami,Konami,Unreleased
ESPN NBA Basketball,Visual Concepts,Sega,"02003-11-28 November 28, 2003"
ESPN NFL 2K5,Visual Concepts,Sega,"02005-01-28 January 28, 2005"
ESPN NFL Football,Visual Concepts,Sega,"02003-11-28 November 28, 2003"
ESPN NFL PrimeTime 2002,Farsight Technologies,Konami,Unreleased
ESPN NHL 2K5,Kush Games,Sega,"02004-10-15 October 15, 2004"
ESPN NHL Hockey,Kush Games,Sega,"02003-11-28 November 28, 2003"
ESPN Winter X-Games Snowboarding 2002,Konami,Konami,"02002-06-07 June 07, 2002"
Evil Dead: A Fistful of Boomstick,VIS Entertainment,THQ,"02003-06-27 June 27, 2003"
Evil Dead: Regeneration,Cranky Pants Games,THQ,"02005-09-30 September 30, 2005"
ExaSkeleton,Kiki Co.,Kiki Co.,Unreleased
F1 2001,EA UK,EA Sports,Unreleased
F1 2002,Visual Science,EA Sports,"02002-04-05 April 05, 2002"
F1 Career Challenge,Visual Science,EA Sports,"02003-06-27 June 27, 2003"
Fable,Lionhead Studios,Microsoft Game Studios,"02004-10-08 October 08, 2004"
Fable: The Lost Chapters,Lionhead Studios,Microsoft Game Studios,"02005-10-21 October 21, 2005"
Template:Sort,Blitz Games,THQ,Unreleased
Fallout: Brotherhood of Steel,Interplay Entertainment,Interplay Entertainment,"02004-04-02 April 02, 2004"
Family Guy Video Game!,High Voltage Software,2K Games,"02006-11-03 November 03, 2006"
Fantastic 4,7 Studios,Activision,"02005-07-15 July 15, 2005"
Far Cry Instincts,Ubisoft Montreal,Ubisoft,"02005-09-30 September 30, 2005"
Far Cry Instincts: Evolution,Ubisoft Montreal,Ubisoft,"02006-03-30 March 30, 2006"
Fatal Frame Project Zero (PAL),Tecmo,Tecmo Microsoft Game Studios,"02003-05-02 May 02, 2003"
Fatal Frame II: Crimson Butterfly Project Zero II: Crimson Butterfly (PAL),Tecmo,Tecmo,"02005-02-04 February 04, 2005"
FIFA 06,EA Canada,EA Sports,"02005-09-30 September 30, 2005"
FIFA 07,EA Canada,EA Sports,"02006-09-25 September 25, 2006"
FIFA Football 2003,EA Canada,EA Sports,"02002-11-01 November 01, 2002"
FIFA Football 2004,EA Canada,EA Sports,"02003-10-24 October 24, 2003"
FIFA Football 2005,EA Canada,EA Sports,"02004-10-08 October 08, 2004"
FIFA Street,EA Canada,EA Sports BIG,"02005-03-11 March 11, 2005"
FIFA Street 2,EA Canada,EA Sports BIG,"02006-03-03 March 03, 2006"
Fight Club,Genuine Games,Vivendi Universal Games,"02004-12-10 December 10, 2004"
Fight Night 2004,"EA Canada , NuFX",EA Sports,"02004-04-30 April 30, 2004"
Fight Night Round 2,EA Chicago,EA Sports,"02005-03-18 March 18, 2005"
Fight Night: Round 3,EA Chicago,EA Sports,"02006-03-09 March 09, 2006"
FILA World Tour Tennis,Hokus Pokus,THQ,"02002-08-23 August 23, 2002"
Final Fight: Streetwise,Secret Level,Capcom,"02006-04-07 April 07, 2006"
Finding Nemo,Traveller's Tales,THQ,"02003-09-26 September 26, 2003"
Fire Blade,Kuju Entertainment,Midway Games,"02003-02-28 February 28, 2003"
FlatOut,Bugbear Entertainment,Empire Interactive,"02004-11-05 November 05, 2004"
FlatOut 2,Bugbear Entertainment,Empire Interactive,"02006-07-30 July 30, 2006"
Flight Academy,Aquasystem,Aquasystem,Unreleased
Ford Bold Moves Street Racing Ford Street Racing (PAL),Razorworks,"Eidos Interactive , Empire Interactive","02006-02-24 February 24, 2006"
Ford Mustang: The Legend Lives,Eutechnyx,2K Games,"02005-07-15 July 15, 2005"
Ford Racing 2,Razorworks,Take-Two Interactive,"02003-10-31 October 31, 2003"
Ford Racing 3,Razorworks,2K Games,"02005-01-14 January 14, 2005"
Ford vs. Chevy,2K Games,Global Star Software,Unreleased
Forgotten Realms: Demon Stone,"Stormfront Studios , Zono",Atari,"02005-02-11 February 11, 2005"
Forza Motorsport,Microsoft Game Studios,Microsoft Game Studios,"02005-05-13 May 13, 2005"
Freaky Flyers,Midway Games,Midway Games,"02003-10-10 October 10, 2003"
Freedom Fighters,IO Interactive,EA Games,"02003-09-26 September 26, 2003"
Freestyle MetalX,Midway Games,Midway Games,"02003-09-19 September 19, 2003"
Freestyle Street Soccer Urban Freestyle Soccer PAL,Gusto Games,Acclaim Entertainment,"02004-02-13 February 13, 2004"
Frogger Beyond,Konami,Konami,Unreleased
Frogger: Ancient Shadow,Hudson Soft,Konami,Unreleased
Full Spectrum Warrior,Pandemic Studios,THQ,"02004-06-25 June 25, 2004"
Full Spectrum Warrior: Ten Hammers,Pandemic Studios,THQ,"02006-06-23 June 23, 2006"
Furious Karting,Babylon Software,Infogrames,"02003-01-24 January 24, 2003"
Futurama,Unique Development Studios,SCi Games Vivendi Universal Games,"02003-08-01 August 01, 2003"
Future Tactics: The Uprising,Zed Two,JoWooD Productions Crave Entertainment,"02004-10-22 October 22, 2004"
Fuzion Frenzy,Blitz Games,Microsoft Game Studios,"02002-03-14 March 14, 2002"
Galaxy Angel,Broccoli,Broccoli,Unreleased
Galleon,Confounding Factor,SCi,"02004-06-11 June 11, 2004"
Gauntlet Dark Legacy,Midway Games,Midway Games,"02002-06-28 June 28, 2002"
Gauntlet: Seven Sorrows,Midway Games,Midway Games,"02005-03-26 March 26, 2005"
Gene Troopers,Cauldron,"Akella , Playlogic Entertainment , PlayLogic International","02005-11-09 November 09, 2005"
Genma Onimusha,Capcom,Capcom,"02002-03-22 March 22, 2002"
Ghost Master: The Gravenville Chronicles,Empire Interactive,Empire Interactive,"02004-08-27 August 27, 2004"
Gladiator: Sword of Vengeance,Acclaim Studios Manchester,Acclaim Entertainment,"02003-07-30 July 30, 2003"
Gladius,LucasArts,LucasArts,"02003-11-28 November 28, 2003"
Goblin Commander: Unleash the Horde,Jaleco Entertainment,Jaleco Entertainment,"02003-03-19 March 19, 2003"
Template:Sort,Electronic Arts,Electronic Arts,"02006-03-24 March 24, 2006"
Godzilla: Destroy All Monsters Melee,Pipeworks Software,Infogrames,"02003-05-08 May 08, 2003"
Godzilla: Save the Earth,Pipeworks Software,Atari,"02004-12-10 December 10, 2004"
GoldenEye: Rogue Agent,EA Los Angeles,EA Games,"02004-11-26 November 26, 2004"
Gotcha!,Sixteen Tons Entertainment,Global Star Software,"02005-04-15 April 15, 2005"
